platform,platform_org_id,state,likely_school_district,include_in_rollout,notes
boarddocs,oh/sylvania,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/tecumseh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/tipp,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/tps,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/triway,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/tsdoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/tuslawoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/twinvalley,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/urbana,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/van,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/vanlue,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/vint,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/warrenoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/washlsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/wccc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/wcesc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/wcscc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/wcsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/wecs,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/westernbrown,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/westholmes,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
