org_id,org_name,likely_school_district,include_in_rollout,state,county
1028,Hart Public Schools,True,True,,
937,Harts Bluff ISD,True,True,,
1227,Harvard CUSD 50,False,False,,
1735,Harvey School District 152,True,True,,
2723,Haskell CISD,True,True,,
931,Hastings Public Schools,True,True,,
678,Hawkins Independent School District,True,True,,
1858,Hays CISD,True,True,,
1401,Hazel Crest School District 152 1/2,True,True,,
1527,Hazel Park Schools,True,True,,
2705,Hearne ISD,True,True,,
3207,Heart of Texas Behavioral Health Network,False,False,,
2684,Hedley Independent School District,True,True,,
2585,Helix School District,True,True,,
2578,Hemphill ISD,True,True,,
2241,Hempstead Independent School District,True,True,,
958,Henderson ISD,True,True,,
755,Henrietta ISD,True,True,,
2218,Hereford ISD,True,True,,
2711,Hermantown Community Schools,True,True,,
1544,Hermiston School District,True,True,,
656,Hico ISD,True,True,,
2062,Hidalgo ISD,True,True,,
3342,High Island ISD,True,True,,
1398,Highland ISD,True,True,,
2024,Highland Park ISD- Dallas County,True,True,,
935,Highland Park ISD-Potter County,True,True,,
1074,Hill City School,True,True,,
1013,Hill College,False,False,,
2106,Hill County SSA,False,False,,
953,Hillsboro ISD,True,True,,
1540,Hillsboro School District 1J,True,True,,
1228,Hinckley-Big Rock CUSD No.429,False,False,,
1009,Hitchcock ISD,True,True,,
2290,Holland ISD,True,True,,
1928,Holland Township School,True,True,,
2384,Hollandale School District,True,True,,
1881,Holliday Independent School District,True,True,,
1471,Holly Area Schools,True,True,,
974,Holmes County Consolidated School District,True,True,,
3237,Holt Public Schools,True,True,,
2069,Homedale Jt. School District 370,True,True,,
1742,Homer CCSD 33C,False,False,,
3639,Homewood-Flossmoor Community HSD 233,False,False,,
640,Hondo Independent School District,True,True,,
1224,Honey Grove I.S.D.,True,True,,
2309,Hooks ISD,True,True,,
